variant_slug,support,support_slug,Canal,periodicite_print,diffusion_print,format_print,Visites par mois Web,Pages vues par mois Web,Nombre d'envois NL,tarif_brut,tarif_net
info-cyber-risques::print,INFO CYBER RISQUES,info-cyber-risques,Print,Trimestriel,5000,210 x 297,,,,3200,2176
innovation-et-therapeutiques-en-oncologie::print,INNOVATION ET THERAPEUTIQUES EN ONCOLOGIE,innovation-et-therapeutiques-en-oncologie,Print,Bimestriel,2500,210 x 270,,,,5800,3944
intramuros::print,INTRAMUROS,intramuros,Print,Trimestriel,15000,220 x 300,,,,6500,4420
investissement-conseils::print,INVESTISSEMENT CONSEILS,investissement-conseils,Print,Mensuel,30000,210 x 280,,,,9260,6296.8
it-for-business::print,IT FOR BUSINESS,it-for-business,Print,Mensuel,14880,210 x 297,,,,5000,3400
j2r::print,J2R,j2r,Print,Mensuel,21000,210 x 297,,,,5890,4005.2
j3e::print,J3E,j3e,Print,Mensuel,4000,210 x 297,,,,3400,2312
jautomatise::print,JAUTOMATISE,jautomatise,Print,Bimestriel,9000,210 x 297,,,,3400,2312
journal-d-imagerie-diagnostique::print,JOURNAL D'IMAGERIE DIAGNOSTIQUE,journal-d-imagerie-diagnostique,Print,Bimestriel,8000,210 x 280,,,,6800,4624
journal-de-chirurgie-viscerale::print,JOURNAL DE CHIRURGIE VISCERALE,journal-de-chirurgie-viscerale,Print,Bimestriel,1200,210 x 297,,,,5300,3604
journal-de-l-assemblee-de-liaison::print,JOURNAL DE L'ASSEMBLEE DE LIAISON,journal-de-l-assemblee-de-liaison,Print,Bi annuel,14210,210 x 297,,,,4600,3128
journal-de-pharmacie-clinique::print,JOURNAL DE PHARMACIE CLINIQUE,journal-de-pharmacie-clinique,Print,Trimestriel,1000,210 x 270,,,,5000,3400
journal-des-communes::print,JOURNAL DES COMMUNES,journal-des-communes,Print,Bimestriel,9000,210 x 270,,,,4500,3060
journal-des-entreprises::print,JOURNAL DES ENTREPRISES,journal-des-entreprises,Print,Mensuel,57150,210 x 297,,,,22000,14960
journal-des-maires::print,JOURNAL DES MAIRES,journal-des-maires,Print,Mensuel,8428,210 x 280,,,,3600,2448
